ID,SKU,ProductName,Compatibility,ATT_new_price,ATT_upg_price,SPR_new_price,SPR_upg_price,VZW_new_price,VZW_upg_price,TMO_new_price,TMO_upg_price,Unactivated_price
0,6288555,BLU - Vivo XI+ with 64GB Memory Cell Phone (Unlocked) - Silver,"['AT&T', ' Cricket', ' H2O Wireless', ' Net10', ' Simple Mobile', ' T-Mobile', ' TRACFONE', ' Verizon']",129.99,-1,-1,-1,199.99,199.99,-1,-1,179.99
1,6092438,Nokia - 3310 Cell Phone (Unlocked) - Charcoal,"['AT&T', ' T-Mobile', ' Cricket', ' TRACFONE', ' Net10', ' Simple Mobile', ' H2O Wireless']",-1,-1,-1,-1,-1,-1,-1,-1,-1
